object,method,lights,status,mae_deg,median_deg,p90_deg,p95_deg,runtime_sec,runtime_iqr_sec,runtime_std_sec,runtime_measured_runs,runtime_source,runtime_caveat,peak_gpu_memory_mb,gpu_memory_exceeds_physical,delta_mae_vs_l2_deg,relative_improvement_vs_l2_pct,valid_pixel_count,device,gpu_name,gpu_total_memory_mb,error,image_indices_zero_based,image_names,light_geometry,intensity_normalization,method_input_preprocessing,source_mask_pixel_count,invalid_gt_pixels_excluded,inference_seed,output_dir,normal_est_npy,normal_est_rgb_png,normal_gt_rgb_png,angular_error_npy,angular_error_heatmap_png,height_map_npy,height_map_png,mesh_vtk,mesh_png,baseline_status,accuracy_pass_single_run_sec,runtime_scope,runtime_protocol,runtime_median_sec,runtime_min_sec,runtime_max_sec,runtime_runs_sec,end_to_end_sec,end_to_end_median_sec,end_to_end_min_sec,end_to_end_max_sec,end_to_end_std_sec,end_to_end_iqr_sec,end_to_end_runs_sec,runtime_warmup_runs,repeat_outputs_identical,mae_deg_std_over_runs,runtime_pass_mae_deg,runtime_pass_mae_matches,baseline_mae_deg,baseline_delta_deg,baseline_ratio,baseline_source_url,baseline_notes,oom_note,replaced_record_status,replaced_record_error_excerpt,replacement_reason,replacement_source,runtime_caveat_evidence
ball,l2,4,ok,4.301647587571263,2.3655642058865456,11.043795259352237,15.281816943146477,0.028191099991090596,0.0016815999988466501,0.0016824923658015807,3,runtime_pass,,0.0,False,0.0,0.0,15791,cpu,NVIDIA GeForce RTX 3050 Ti Laptop GPU,4095.5,,"[91,55,43,48]","[""092.png"",""056.png"",""044.png"",""049.png""]","{""rank"":3,""condition_number"":2.7684125676378395,""azimuth_deg"":[-3.798961534701169,85.8369947986284,-177.3517244403712,-83.71332730752032],""elevation_deg"":[52.75632172730442,64.37070752205781,52.073216510088876,64.05863916381685],""directions"":[[0.6038763194544398,-0.0400984275709936,0.7960687827747632],[0.031400400671668875,0.43140550476936157,0.9016115046361992],[-0.613997544014736,-0.0283998864006816,0.7887968448189312],[0.04790224930292527,-0.43482041747206485,0.8992422249100293]],""indices_zero_based"":[91,55,43,48],""cardinal_target_order"":[""right"",""front"",""left"",""back""],""cardinal_target_azimuth_deg"":[0.0,90.0,180.0,-90.0]}",per_channel_calibrated,"per-channel light-intensity correction, RGB mean",15791,0,42,outputs\photometric_stereo\matrix_accuracy\l2\ball\lights_004\l2,outputs\photometric_stereo\matrix_accuracy\l2\ball\lights_004\l2\normal_est.npy,outputs\photometric_stereo\matrix_accuracy\l2\ball\lights_004\l2\normal_est_rgb.png,outputs\photometric_stereo\matrix_accuracy\l2\ball\lights_004\l2\normal_gt_rgb.png,outputs\photometric_stereo\matrix_accuracy\l2\ball\lights_004\l2\angular_error.npy,outputs\photometric_stereo\matrix_accuracy\l2\ball\lights_004\l2\angular_error_heatmap.png,outputs\photometric_stereo\matrix_accuracy\l2\ball\lights_004\l2\height_map.npy,outputs\photometric_stereo\matrix_accuracy\l2\ball\lights_004\l2\height_map.png,outputs\photometric_stereo\matrix_accuracy\l2\ball\lights_004\l2\mesh.vtk,outputs\photometric_stereo\matrix_accuracy\l2\ball\lights_004\l2\mesh.png,not_applicable,0.05843620002269745,solver/model forward only,1 warm-up run(s) then 3 measured run(s); median reported,0.028191099991090596,0.026604400016367435,0.029967600014060736,"[0.028191099991090596,0.026604400016367435,0.029967600014060736]",0.028191099991090596,0.028191099991090596,0.026604400016367435,0.029967600014060736,0.0016824923658015807,0.0016815999988466501,"[0.028191099991090596,0.026604400016367435,0.029967600014060736]",1,True,0.0,4.301647587571263,True,,,,,,,,,,,
ball,l1,4,ok,4.806603912234847,2.5141552442254094,12.517857296361464,19.648242815847567,28.101425600005314,0.5194049999990966,0.5510578222004474,3,runtime_pass,,0.0,False,0.504956324663584,-11.73867255240882,15791,cpu,NVIDIA GeForce RTX 3050 Ti Laptop GPU,4095.5,,"[91,55,43,48]","[""092.png"",""056.png"",""044.png"",""049.png""]","{""rank"":3,""condition_number"":2.7684125676378395,""azimuth_deg"":[-3.798961534701169,85.8369947986284,-177.3517244403712,-83.71332730752032],""elevation_deg"":[52.75632172730442,64.37070752205781,52.073216510088876,64.05863916381685],""directions"":[[0.6038763194544398,-0.0400984275709936,0.7960687827747632],[0.031400400671668875,0.43140550476936157,0.9016115046361992],[-0.613997544014736,-0.0283998864006816,0.7887968448189312],[0.04790224930292527,-0.43482041747206485,0.8992422249100293]],""indices_zero_based"":[91,55,43,48],""cardinal_target_order"":[""right"",""front"",""left"",""back""],""cardinal_target_azimuth_deg"":[0.0,90.0,180.0,-90.0]}",per_channel_calibrated,"per-channel light-intensity correction, RGB mean",15791,0,42,outputs\photometric_stereo\matrix_accuracy\l1\ball\lights_004\l1,outputs\photometric_stereo\matrix_accuracy\l1\ball\lights_004\l1\normal_est.npy,outputs\photometric_stereo\matrix_accuracy\l1\ball\lights_004\l1\normal_est_rgb.png,outputs\photometric_stereo\matrix_accuracy\l1\ball\lights_004\l1\normal_gt_rgb.png,outputs\photometric_stereo\matrix_accuracy\l1\ball\lights_004\l1\angular_error.npy,outputs\photometric_stereo\matrix_accuracy\l1\ball\lights_004\l1\angular_error_heatmap.png,outputs\photometric_stereo\matrix_accuracy\l1\ball\lights_004\l1\height_map.npy,outputs\photometric_stereo\matrix_accuracy\l1\ball\lights_004\l1\height_map.png,outputs\photometric_stereo\matrix_accuracy\l1\ball\lights_004\l1\mesh.vtk,outputs\photometric_stereo\matrix_accuracy\l1\ball\lights_004\l1\mesh.png,not_applicable,39.63153199997032,solver/model forward only,1 warm-up run(s) then 3 measured run(s); median reported,28.101425600005314,27.90084580000257,28.939655800000764,"[28.939655800000764,28.101425600005314,27.90084580000257]",28.101425600005314,28.101425600005314,27.90084580000257,28.939655800000764,0.5510578222004474,0.5194049999990966,"[28.939655800000764,28.101425600005314,27.90084580000257]",1,True,0.0,4.806603912234847,True,,,,,,,,,,,
ball,ps_fcn,4,ok,4.587955449980154,4.435465682881028,7.583847751419018,8.640128519066144,0.11758569994708523,0.00020300003234297037,0.0002148918047290004,3,runtime_pass,,428.04052734375,False,0.28630786240889083,-6.65577215660621,15791,cuda,NVIDIA GeForce RTX 3050 Ti Laptop GPU,4095.5,,"[91,55,43,48]","[""092.png"",""056.png"",""044.png"",""049.png""]","{""rank"":3,""condition_number"":2.7684125676378395,""azimuth_deg"":[-3.798961534701169,85.8369947986284,-177.3517244403712,-83.71332730752032],""elevation_deg"":[52.75632172730442,64.37070752205781,52.073216510088876,64.05863916381685],""directions"":[[0.6038763194544398,-0.0400984275709936,0.7960687827747632],[0.031400400671668875,0.43140550476936157,0.9016115046361992],[-0.613997544014736,-0.0283998864006816,0.7887968448189312],[0.04790224930292527,-0.43482041747206485,0.8992422249100293]],""indices_zero_based"":[91,55,43,48],""cardinal_target_order"":[""right"",""front"",""left"",""back""],""cardinal_target_azimuth_deg"":[0.0,90.0,180.0,-90.0]}",per_channel_calibrated,"per-channel light-intensity correction, upstream [0,1] PS-FCN input scale",15791,0,42,outputs\photometric_stereo\matrix_accuracy\ps_fcn\ball\lights_004\ps_fcn,outputs\photometric_stereo\matrix_accuracy\ps_fcn\ball\lights_004\ps_fcn\normal_est.npy,outputs\photometric_stereo\matrix_accuracy\ps_fcn\ball\lights_004\ps_fcn\normal_est_rgb.png,outputs\photometric_stereo\matrix_accuracy\ps_fcn\ball\lights_004\ps_fcn\normal_gt_rgb.png,outputs\photometric_stereo\matrix_accuracy\ps_fcn\ball\lights_004\ps_fcn\angular_error.npy,outputs\photometric_stereo\matrix_accuracy\ps_fcn\ball\lights_004\ps_fcn\angular_error_heatmap.png,outputs\photometric_stereo\matrix_accuracy\ps_fcn\ball\lights_004\ps_fcn\height_map.npy,outputs\photometric_stereo\matrix_accuracy\ps_fcn\ball\lights_004\ps_fcn\height_map.png,outputs\photometric_stereo\matrix_accuracy\ps_fcn\ball\lights_004\ps_fcn\mesh.vtk,outputs\photometric_stereo\matrix_accuracy\ps_fcn\ball\lights_004\ps_fcn\mesh.png,,0.589419000025373,solver/model forward only,1 warm-up run(s) then 3 measured run(s); median reported,0.11758569994708523,0.11750479997135699,0.11791080003604293,"[0.11758569994708523,0.11750479997135699,0.11791080003604293]",0.11758569994708523,0.11758569994708523,0.11750479997135699,0.11791080003604293,0.0002148918047290004,0.00020300003234297037,"[0.11758569994708523,0.11750479997135699,0.11791080003604293]",1,True,0.0,4.587955449980154,True,,,,,,,,,,,
ball,sdm_unips,4,ok,1.6887209059707045,1.356583880945321,2.4248500818649914,2.8220768544939494,11.713889399950858,0.15316580000217073,0.1537283957192355,3,runtime_pass,,1448.84375,False,-2.612926681600558,60.74246270545452,15791,cuda,NVIDIA GeForce RTX 3050 Ti Laptop GPU,4095.5,,"[91,55,43,48]","[""092.png"",""056.png"",""044.png"",""049.png""]","{""rank"":3,""condition_number"":2.7684125676378395,""azimuth_deg"":[-3.798961534701169,85.8369947986284,-177.3517244403712,-83.71332730752032],""elevation_deg"":[52.75632172730442,64.37070752205781,52.073216510088876,64.05863916381685],""directions"":[[0.6038763194544398,-0.0400984275709936,0.7960687827747632],[0.031400400671668875,0.43140550476936157,0.9016115046361992],[-0.613997544014736,-0.0283998864006816,0.7887968448189312],[0.04790224930292527,-0.43482041747206485,0.8992422249100293]],""indices_zero_based"":[91,55,43,48],""cardinal_target_order"":[""right"",""front"",""left"",""back""],""cardinal_target_azimuth_deg"":[0.0,90.0,180.0,-90.0]}",per_channel_calibrated,"raw RGB [0,1], upstream per-image normalization; calibrated directions ignored",15791,0,42,outputs\photometric_stereo\matrix_accuracy\sdm_unips\ball\lights_004\sdm_unips,outputs\photometric_stereo\matrix_accuracy\sdm_unips\ball\lights_004\sdm_unips\normal_est.npy,outputs\photometric_stereo\matrix_accuracy\sdm_unips\ball\lights_004\sdm_unips\normal_est_rgb.png,outputs\photometric_stereo\matrix_accuracy\sdm_unips\ball\lights_004\sdm_unips\normal_gt_rgb.png,outputs\photometric_stereo\matrix_accuracy\sdm_unips\ball\lights_004\sdm_unips\angular_error.npy,outputs\photometric_stereo\matrix_accuracy\sdm_unips\ball\lights_004\sdm_unips\angular_error_heatmap.png,outputs\photometric_stereo\matrix_accuracy\sdm_unips\ball\lights_004\sdm_unips\height_map.npy,outputs\photometric_stereo\matrix_accuracy\sdm_unips\ball\lights_004\sdm_unips\height_map.png,outputs\photometric_stereo\matrix_accuracy\sdm_unips\ball\lights_004\sdm_unips\mesh.vtk,outputs\photometric_stereo\matrix_accuracy\sdm_unips\ball\lights_004\sdm_unips\mesh.png,,12.134694600012153,solver/model forward only,1 warm-up run(s) then 3 measured run(s); median reported,11.713889399950858,11.537964599963743,11.844296199968085,"[11.537964599963743,11.713889399950858,11.844296199968085]",11.921325300005265,11.921325300005265,11.742100699979346,12.063516200054437,0.1610629447347448,0.16070775003754534,"[11.742100699979346,11.921325300005265,12.063516200054437]",1,True,0.0,1.6887209059707045,True,,,,,,,,,,,
bear,l2,4,ok,12.944558141277298,10.402290233235028,24.180947684376882,30.915621078790245,,,,,not_measured,,0.0,False,0.0,0.0,41512,cpu,NVIDIA GeForce RTX 3050 Ti Laptop GPU,4095.5,,"[91,7,43,48]","[""092.png"",""008.png"",""044.png"",""049.png""]","{""rank"":3,""condition_number"":2.6574848283640877,""azimuth_deg"":[-4.581249444692242,93.96643410278443,-176.45167249802657,-83.56949122768826],""elevation_deg"":[51.42734770178423,63.55965666581633,51.29640344302792,62.91145402688171],""directions"":[[0.6215144410558088,-0.049801157143329486,0.7818181657561244],[-0.03079994702413668,0.4441992359779712,0.8953984599159734],[-0.6240929290671703,-0.038699561536451675,0.7803911582182659],[0.051000220831434295,-0.4525019593377259,0.8903038550240384]],""indices_zero_based"":[91,7,43,48],""cardinal_target_order"":[""right"",""front"",""left"",""back""],""cardinal_target_azimuth_deg"":[0.0,90.0,180.0,-90.0]}",per_channel_calibrated,"per-channel light-intensity correction, RGB mean",41512,0,42,outputs\photometric_stereo\matrix_accuracy\l2\bear\lights_004\l2,outputs\photometric_stereo\matrix_accuracy\l2\bear\lights_004\l2\normal_est.npy,outputs\photometric_stereo\matrix_accuracy\l2\bear\lights_004\l2\normal_est_rgb.png,outputs\photometric_stereo\matrix_accuracy\l2\bear\lights_004\l2\normal_gt_rgb.png,outputs\photometric_stereo\matrix_accuracy\l2\bear\lights_004\l2\angular_error.npy,outputs\photometric_stereo\matrix_accuracy\l2\bear\lights_004\l2\angular_error_heatmap.png,outputs\photometric_stereo\matrix_accuracy\l2\bear\lights_004\l2\height_map.npy,outputs\photometric_stereo\matrix_accuracy\l2\bear\lights_004\l2\height_map.png,outputs\photometric_stereo\matrix_accuracy\l2\bear\lights_004\l2\mesh.vtk,outputs\photometric_stereo\matrix_accuracy\l2\bear\lights_004\l2\mesh.png,not_applicable,0.03210840001702309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bear,l1,4,ok,14.292981239713434,11.22329075125755,25.926195285744935,32.19003290235778,,,,,not_measured,,0.0,False,1.348423098436136,-10.416910980810668,41512,cpu,NVIDIA GeForce RTX 3050 Ti Laptop GPU,4095.5,,"[91,7,43,48]","[""092.png"",""008.png"",""044.png"",""049.png""]","{""rank"":3,""condition_number"":2.6574848283640877,""azimuth_deg"":[-4.581249444692242,93.96643410278443,-176.45167249802657,-83.56949122768826],""elevation_deg"":[51.42734770178423,63.55965666581633,51.29640344302792,62.91145402688171],""directions"":[[0.6215144410558088,-0.049801157143329486,0.7818181657561244],[-0.03079994702413668,0.4441992359779712,0.8953984599159734],[-0.6240929290671703,-0.038699561536451675,0.7803911582182659],[0.051000220831434295,-0.4525019593377259,0.8903038550240384]],""indices_zero_based"":[91,7,43,48],""cardinal_target_order"":[""right"",""front"",""left"",""back""],""cardinal_target_azimuth_deg"":[0.0,90.0,180.0,-90.0]}",per_channel_calibrated,"per-channel light-intensity correction, RGB mean",41512,0,42,outputs\photometric_stereo\matrix_accuracy\l1\bear\lights_004\l1,outputs\photometric_stereo\matrix_accuracy\l1\bear\lights_004\l1\normal_est.npy,outputs\photometric_stereo\matrix_accuracy\l1\bear\lights_004\l1\normal_est_rgb.png,outputs\photometric_stereo\matrix_accuracy\l1\bear\lights_004\l1\normal_gt_rgb.png,outputs\photometric_stereo\matrix_accuracy\l1\bear\lights_004\l1\angular_error.npy,outputs\photometric_stereo\matrix_accuracy\l1\bear\lights_004\l1\angular_error_heatmap.png,outputs\photometric_stereo\matrix_accuracy\l1\bear\lights_004\l1\height_map.npy,outputs\photometric_stereo\matrix_accuracy\l1\bear\lights_004\l1\height_map.png,outputs\photometric_stereo\matrix_accuracy\l1\bear\lights_004\l1\mesh.vtk,outputs\photometric_stereo\matrix_accuracy\l1\bear\lights_004\l1\mesh.png,not_applicable,278.3853374000173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bear,ps_fcn,4,ok,8.382483007280925,7.752726726141964,14.126259560799854,16.87769885040057,,,,,not_measured,,428.04052734375,False,-4.562075133996373,35.2431893325809,41512,cuda,NVIDIA GeForce RTX 3050 Ti Laptop GPU,4095.5,,"[91,7,43,48]","[""092.png"",""008.png"",""044.png"",""049.png""]","{""rank"":3,""condition_number"":2.6574848283640877,""azimuth_deg"":[-4.581249444692242,93.96643410278443,-176.45167249802657,-83.56949122768826],""elevation_deg"":[51.42734770178423,63.55965666581633,51.29640344302792,62.91145402688171],""directions"":[[0.6215144410558088,-0.049801157143329486,0.7818181657561244],[-0.03079994702413668,0.4441992359779712,0.8953984599159734],[-0.6240929290671703,-0.038699561536451675,0.7803911582182659],[0.051000220831434295,-0.4525019593377259,0.8903038550240384]],""indices_zero_based"":[91,7,43,48],""cardinal_target_order"":[""right"",""front"",""left"",""back""],""cardinal_target_azimuth_deg"":[0.0,90.0,180.0,-90.0]}",per_channel_calibrated,"per-channel light-intensity correction, upstream [0,1] PS-FCN input scale",41512,0,42,outputs\photometric_stereo\matrix_accuracy\ps_fcn\bear\lights_004\ps_fcn,outputs\photometric_stereo\matrix_accuracy\ps_fcn\bear\lights_004\ps_fcn\normal_est.npy,outputs\photometric_stereo\matrix_accuracy\ps_fcn\bear\lights_004\ps_fcn\normal_est_rgb.png,outputs\photometric_stereo\matrix_accuracy\ps_fcn\bear\lights_004\ps_fcn\normal_gt_rgb.png,outputs\photometric_stereo\matrix_accuracy\ps_fcn\bear\lights_004\ps_fcn\angular_error.npy,outputs\photometric_stereo\matrix_accuracy\ps_fcn\bear\lights_004\ps_fcn\angular_error_heatmap.png,outputs\photometric_stereo\matrix_accuracy\ps_fcn\bear\lights_004\ps_fcn\height_map.npy,outputs\photometric_stereo\matrix_accuracy\ps_fcn\bear\lights_004\ps_fcn\height_map.png,outputs\photometric_stereo\matrix_accuracy\ps_fcn\bear\lights_004\ps_fcn\mesh.vtk,outputs\photometric_stereo\matrix_accuracy\ps_fcn\bear\lights_004\ps_fcn\mesh.png,,0.12777449999703094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bear,sdm_unips,4,ok,3.4836201018510224,2.862285885228726,6.049440525920406,7.47644857316881,,,,,not_measured,,1441.91748046875,False,-9.460938039426276,73.08814975505005,41512,cuda,NVIDIA GeForce RTX 3050 Ti Laptop GPU,4095.5,,"[91,7,43,48]","[""092.png"",""008.png"",""044.png"",""049.png""]","{""rank"":3,""condition_number"":2.6574848283640877,""azimuth_deg"":[-4.581249444692242,93.96643410278443,-176.45167249802657,-83.56949122768826],""elevation_deg"":[51.42734770178423,63.55965666581633,51.29640344302792,62.91145402688171],""directions"":[[0.6215144410558088,-0.049801157143329486,0.7818181657561244],[-0.03079994702413668,0.4441992359779712,0.8953984599159734],[-0.6240929290671703,-0.038699561536451675,0.7803911582182659],[0.051000220831434295,-0.4525019593377259,0.8903038550240384]],""indices_zero_based"":[91,7,43,48],""cardinal_target_order"":[""right"",""front"",""left"",""back""],""cardinal_target_azimuth_deg"":[0.0,90.0,180.0,-90.0]}",per_channel_calibrated,"raw RGB [0,1], upstream per-image normalization; calibrated directions ignored",41512,0,42,outputs\photometric_stereo\matrix_accuracy\sdm_unips\bear\lights_004\sdm_unips,outputs\photometric_stereo\matrix_accuracy\sdm_unips\bear\lights_004\sdm_unips\normal_est.npy,outputs\photometric_stereo\matrix_accuracy\sdm_unips\bear\lights_004\sdm_unips\normal_est_rgb.png,outputs\photometric_stereo\matrix_accuracy\sdm_unips\bear\lights_004\sdm_unips\normal_gt_rgb.png,outputs\photometric_stereo\matrix_accuracy\sdm_unips\bear\lights_004\sdm_unips\angular_error.npy,outputs\photometric_stereo\matrix_accuracy\sdm_unips\bear\lights_004\sdm_unips\angular_error_heatmap.png,outputs\photometric_stereo\matrix_accuracy\sdm_unips\bear\lights_004\sdm_unips\height_map.npy,outputs\photometric_stereo\matrix_accuracy\sdm_unips\bear\lights_004\sdm_unips\height_map.png,outputs\photometric_stereo\matrix_accuracy\sdm_unips\bear\lights_004\sdm_unips\mesh.vtk,outputs\photometric_stereo\matrix_accuracy\sdm_unips\bear\lights_004\sdm_unips\mesh.png,,10.617886299965903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
buddha,l2,4,ok,16.18058046601506,10.919655963997808,35.65531619082904,49.52722557499425,,,,,not_measured,,0.0,False,0.0,0.0,44864,cpu,NVIDIA GeForce RTX 3050 Ti Laptop GPU,4095.5,,"[91,7,43,48]","[""092.png"",""008.png"",""044.png"",""049.png""]","{""rank"":3,""condition_number"":2.833965459204653,""azimuth_deg"":[-5.088325733628592,94.50714618194205,-175.67097454722585,-83.21439821846897],""elevation_deg"":[53.385608365342904,65.32938701456722,52.7403837744209,63.7811457273587],""directions"":[[0.5940760859484805,-0.05289787063907527,0.80266768926249],[-0.03280080789384777,0.416110248921648,0.9087223821079103],[-0.6037003048687309,-0.04570002307851748,0.7959004019298045],[0.05220075848253117,-0.43870637444993144,0.8971130351471017]],""indices_zero_based"":[91,7,43,48],""cardinal_target_order"":[""right"",""front"",""left"",""back""],""cardinal_target_azimuth_deg"":[0.0,90.0,180.0,-90.0]}",per_channel_calibrated,"per-channel light-intensity correction, RGB mean",44864,0,42,outputs\photometric_stereo\matrix_accuracy\l2\buddha\lights_004\l2,outputs\photometric_stereo\matrix_accuracy\l2\buddha\lights_004\l2\normal_est.npy,outputs\photometric_stereo\matrix_accuracy\l2\buddha\lights_004\l2\normal_est_rgb.png,outputs\photometric_stereo\matrix_accuracy\l2\buddha\lights_004\l2\normal_gt_rgb.png,outputs\photometric_stereo\matrix_accuracy\l2\buddha\lights_004\l2\angular_error.npy,outputs\photometric_stereo\matrix_accuracy\l2\buddha\lights_004\l2\angular_error_heatmap.png,outputs\photometric_stereo\matrix_accuracy\l2\buddha\lights_004\l2\height_map.npy,outputs\photometric_stereo\matrix_accuracy\l2\buddha\lights_004\l2\height_map.png,outputs\photometric_stereo\matrix_accuracy\l2\buddha\lights_004\l2\mesh.vtk,outputs\photometric_stereo\matrix_accuracy\l2\buddha\lights_004\l2\mesh.png,not_applicable,0.03345730004366487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
buddha,l1,4,ok,16.553825314812997,10.360677252176085,37.18989251631363,53.05345896881394,,,,,not_measured,,0.0,False,0.3732448487979383,-2.3067457288190893,44864,cpu,NVIDIA GeForce RTX 3050 Ti Laptop GPU,4095.5,,"[91,7,43,48]","[""092.png"",""008.png"",""044.png"",""049.png""]","{""rank"":3,""condition_number"":2.833965459204653,""azimuth_deg"":[-5.088325733628592,94.50714618194205,-175.67097454722585,-83.21439821846897],""elevation_deg"":[53.385608365342904,65.32938701456722,52.7403837744209,63.7811457273587],""directions"":[[0.5940760859484805,-0.05289787063907527,0.80266768926249],[-0.03280080789384777,0.416110248921648,0.9087223821079103],[-0.6037003048687309,-0.04570002307851748,0.7959004019298045],[0.05220075848253117,-0.43870637444993144,0.8971130351471017]],""indices_zero_based"":[91,7,43,48],""cardinal_target_order"":[""right"",""front"",""left"",""back""],""cardinal_target_azimuth_deg"":[0.0,90.0,180.0,-90.0]}",per_channel_calibrated,"per-channel light-intensity correction, RGB mean",44864,0,42,outputs\photometric_stereo\matrix_accuracy\l1\buddha\lights_004\l1,outputs\photometric_stereo\matrix_accuracy\l1\buddha\lights_004\l1\normal_est.npy,outputs\photometric_stereo\matrix_accuracy\l1\buddha\lights_004\l1\normal_est_rgb.png,outputs\photometric_stereo\matrix_accuracy\l1\buddha\lights_004\l1\normal_gt_rgb.png,outputs\photometric_stereo\matrix_accuracy\l1\buddha\lights_004\l1\angular_error.npy,outputs\photometric_stereo\matrix_accuracy\l1\buddha\lights_004\l1\angular_error_heatmap.png,outputs\photometric_stereo\matrix_accuracy\l1\buddha\lights_004\l1\height_map.npy,outputs\photometric_stereo\matrix_accuracy\l1\buddha\lights_004\l1\height_map.png,outputs\photometric_stereo\matrix_accuracy\l1\buddha\lights_004\l1\mesh.vtk,outputs\photometric_stereo\matrix_accuracy\l1\buddha\lights_004\l1\mesh.png,not_applicable,251.65642819995992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
